# コ
s,32,331
m,178,331
m,178,201
e,32,201

# ン
s,245,201
e,300,201

s,242,331
m,329,331
e,387,221

# ニ
s,469,201
e,551,201

s,437,331
e,584,331

# チ
s,702,201
e,765,201

s,678,254
e,752,254

s,666,331
m,701,331
e,734,201

# ハ
s,836,331
e,867,201

s,981,331
e,950,201

# 世
s,146,551
e,471,551

s,346,516
m,346,662
m,427,662
e,427,516

s,211,516
m,211,793
e,459,793

# 界
s,612,672
m,812,672
m,812,521
m,612,521
e,612,672

s,612,594
e,812,594

s,713,672
e,713,521

s,587,751
e,666,672

s,837,751
e,759,672

s,644,696
m,644,804
e,607,842

s,780,841
e,780,697
