# 自
s,329,78
e,323,96

s,296,96
m,296,172
m,366,172
m,366,96
e,296,96

s,296,121
e,366,121

s,296,146
e,366,146

# 己
s,409,88
m,482,88
m,482,123
m,414,123
m,414,164
m,421,172
m,489,172
m,497,164
e,498,150

# 紹
s,545,79
m,530,101
e,541,116

s,557,93
m,530,130
e,560,127

s,556,115
e,563,134

s,543,130
e,543,180

s,529,143
e,524,171

s,556,142
e,562,166

s,569,86
m,618,86
m,614,121
e,598,122

s,590,86
m,584,114
e,570,126

s,576,138
m,576,172
m,616,172
m,616,138
e,576,138

# 介
s,641,125
m,691,81
e,742,121

s,672,119
m,671,151
e,653,180

s,714,119
e,714,180

# 大
s,270,300
e,353,300

s,311,273
m,311,308
e,274,354

s,311,308
e,350,354

# 神
s,385,272
e,385,290

s,369,290
m,398,290
e,368,330

s,385,312
e,385,359

s,385,312
e,400,326

s,410,290
m,410,333
m,450,333
m,450,290
e,410,290

s,410,311
e,450,311

s,430,272
e,430,359

# 祐
s,584,272
e,584,290

s,568,290
m,597,290
e,567,330

s,584,312
e,584,359

s,584,312
e,599,326

s,603,292
e,656,292

s,625,273
e,600,337

s,614,319
m,614,350
m,647,350
m,647,319
e,614,319

# 真
s,673,282
e,750,282

s,711,272
e,711,294

s,685,294
m,685,327
m,738,327
m,738,294
e,685,294

s,685,305
e,738,305

s,685,316
e,738,316

s,668,338
e,755,338

s,698,345
e,673,357

s,723,344
e,749,355

# 個
s,94,462
e,74,507

s,87,484
e,87,549

s,104,469
m,104,540
m,157,540
m,157,469
e,104,469

s,112,489
e,148,489

s,130,477
e,130,506

s,118,506
m,118,527
m,142,527
m,142,506
e,118,506

# 人
s,180,544
m,219,487
m,219,465
m,219,487
e,258,541

# サ
s,276,491
e,357,491

s,299,469
e,299,516

s,333,467
m,333,502
e,307,544

# ー
s,372,504
e,451,504

# ク
s,496,467
e,462,517

s,489,483
m,531,483
e,476,558

# ル
s,569,475
m,569,513
e,544,551

s,596,469
m,596,549
e,641,510

# 「
s,93,632
m,93,564
e,115,564

# へ
s,135,614
m,165,587
e,214,623

# に
s,244,571
m,238,602
m,241,642
e,250,616

s,266,583
e,301,580

s,266,618
m,267,626
m,271,632
m,280,636
e,305,636

# ゃ
s,323,612
m,364,598
m,378,599
m,383,604
m,382,612
m,371,620
e,360,622

s,350,583
e,361,591

s,333,588
e,355,645

# ぺ
s,404,614
m,434,587
e,483,623

s,469,574
m,460,583
m,469,592
m,478,583
e,469,574

# ん
s,538,569
e,502,643

s,515,618
m,532,607
m,540,609
m,544,616
m,546,636
m,551,641
m,555,642
m,564,638
e,575,622

# て
s,591,584
m,662,576
m,640,582
m,620,602
m,618,615
m,632,636
e,653,641

# 」
s,681,647
m,703,647
e,703,579

# で
s,734,584
m,805,576
m,783,582
m,763,602
m,761,615
m,775,636
e,796,641

s,792,596
e,801,606

s,802,589
e,811,599

# 自
s,116,664
e,112,679

s,90,679
m,90,742
m,148,742
m,148,679
e,90,679

s,90,700
e,148,700

s,90,721
e,148,721

# 作
s,199,665
e,178,711

s,192,688
e,192,750

s,221,664
e,203,708

s,217,680
e,260,680

s,229,680
e,229,750

s,229,703
e,255,703

s,229,723
e,257,723

# O
s,308,674
m,289,682
m,279,708
m,290,734
m,308,741
m,327,734
m,337,708
m,328,682
e,308,674

# S
s,396,684
m,389,677
m,377,674
m,365,679
m,360,690
m,370,703
m,390,712
m,397,725
m,392,736
m,379,741
m,366,738
e,358,731

# を
s,418,681
e,466,679

s,446,666
m,417,719
m,443,698
m,452,699
m,458,710
e,459,727

s,485,702
m,436,727
m,434,733
m,445,743
e,480,743

# 軸
s,500,677
e,538,677

s,504,690
m,504,717
m,535,717
m,535,690
e,504,690

s,504,703
e,535,703

s,499,730
e,539,730

s,519,663
e,519,750

s,547,684
m,547,741
m,582,741
m,582,684
e,547,684

s,564,665
e,564,741

s,547,711
e,582,711

# に
s,613,672
m,607,703
m,610,743
e,619,717

s,635,684
e,670,681

s,635,719
m,636,727
m,640,733
m,649,737
e,674,737

# 活
s,698,668
e,710,680

s,694,691
e,707,702

s,693,747
e,709,719

s,767,667
e,720,675

s,715,693
e,776,693

s,746,673
e,746,715

s,726,715
m,726,743
m,767,743
m,767,715
e,726,715

# 動
s,833,667
e,794,672

s,791,682
e,837,682

s,797,694
m,797,717
m,833,717
m,833,694
e,797,694

s,797,705
e,833,705

s,815,671
e,815,741

s,794,728
e,836,728

s,791,744
e,837,738

s,840,688
m,872,688
m,870,746
e,855,746

s,856,665
m,853,723
e,838,748

# !
s,907,667
e,907,724

s,907,736
e,907,745

# 近
s,153,769
m,114,776
m,113,815
e,107,835

s,114,796
e,160,796

s,142,796
e,142,837

s,82,770
e,96,786

s,76,806
m,93,806
m,93,836
m,78,848
m,93,836
m,104,843
m,115,846
e,161,846

# 年
s,197,765
e,180,798

s,193,778
e,256,778

s,196,800
e,196,825

s,196,800
e,252,800

s,176,825
e,262,825

s,224,778
e,224,851

# は
s,288,772
m,282,806
m,282,826
m,285,845
m,289,829
e,295,817

s,305,790
e,352,788

s,333,770
m,333,837
m,328,841
m,316,841
m,308,836
m,308,828
m,316,823
m,330,824
e,354,836

# レ
s,382,774
m,382,842
e,436,805

# ト
s,466,768
e,466,847

s,466,799
e,504,819

# ロ
s,532,782
m,532,834
m,587,834
m,587,782
e,532,782

# ハ
s,636,787
e,613,833

s,664,786
e,691,830

# ー
s,708,807
e,787,807

# ド
s,816,768
e,816,847

s,816,799
e,854,819

s,843,777
e,852,788

s,855,772
e,863,784

# を
s,881,782
e,929,780

s,909,767
m,880,820
m,906,799
m,915,800
m,921,811
e,922,828

s,948,803
m,899,828
m,897,834
m,908,844
e,943,844

# 対
s,98,866
e,98,887

s,76,887
e,118,887

s,107,887
e,78,950

s,82,901
e,113,938

s,120,892
e,162,892

s,148,867
m,148,948
e,130,949

s,122,906
e,134,925

# 象
s,205,864
e,178,895

s,200,872
m,234,872
e,222,886

s,189,886
m,189,902
m,251,902
m,251,886
e,189,886

s,219,886
e,219,902

s,216,902
e,181,920

s,210,908
m,225,932
m,224,949
e,207,949

s,215,915
e,181,933

s,221,925
e,181,948

s,254,908
e,234,922

s,224,902
m,231,920
e,257,945

# に
s,289,874
m,283,905
m,286,945
e,295,919

s,311,886
e,346,883

s,311,921
m,312,929
m,316,935
m,325,939
e,350,939

# し
s,379,872
m,379,934
m,384,942
m,393,947
m,403,947
m,418,939
e,429,924

# て
s,445,887
m,516,879
m,494,885
m,474,905
m,472,918
m,486,939
e,507,944

# い
s,538,881
m,542,923
m,556,940
m,565,933
e,569,923

s,587,886
e,608,923

# ま
s,628,885
e,692,883

s,633,904
e,688,902

s,664,868
m,665,938
m,658,944
m,645,944
m,632,935
m,642,925
m,660,926
e,691,940

# す
s,708,887
e,786,887

s,753,868
m,753,920
m,746,926
m,739,926
m,731,920
m,731,909
m,738,902
m,747,902
m,751,906
m,755,929
m,749,939
e,732,951

# !
s,817,868
e,817,925

s,817,937
e,817,946
